,prediction
21894,0
93192,0
5910,1
103836,0
64356,1
6282,1
41496,0
38799,0
53152,1
91715,0
42717,0
19788,0
54461,1
31387,1
8105,1
38749,0
104256,0
21741,1
22469,1
106341,0
72505,0
37089,0
34559,1
26400,0
95696,0
10849,0
102843,0
51398,1
25562,0
19156,0
62117,0
103927,0
38593,1
56035,0
92937,1
75504,1
20660,0
53273,1
64883,1
100272,0
24412,0
78087,1
94063,1
19111,0
91571,0
14677,1
29518,1
24390,1
25821,1
70099,0
102206,0
21698,1
9314,1
95705,0
13753,1
99433,1
65156,1
6604,0
102657,0
25758,0
16588,0
96244,0
69817,1
23439,0
40631,0
42692,0
63577,0
34561,0
55629,0
62043,1
85268,1
73220,0
82810,0
61656,0
79792,1
7527,1
56969,0
19153,1
82341,1
10069,1
52455,1
53208,0
13583,0
81756,0
47997,1
59369,0
87136,1
80601,1
38027,1
93890,0
38615,0
76628,1
10517,0
25587,0
2835,1
101824,1
53777,0
93251,0
23168,0
32700,0
17041,0
15989,0
72393,1
65473,1
63971,0
84443,1
24628,1
51789,1
89299,0
20736,1
53741,1
60892,1
49346,0
17763,0
27978,0
69311,1
59800,0
104449,1
14002,0
3870,0
13295,0
41728,0
8267,0
59909,0
69787,0
1535,1
1755,1
57050,1
32388,0
10358,0
18677,0
91064,0
104566,1
90523,1
80571,1
39002,0
68228,0
57210,1
44855,0
74857,0
71632,0
7637,0
52968,0
30022,0
71654,0
11907,1
56076,1
20746,1
22727,1
69882,0
36418,0
27223,1
14119,0
7561,0
47655,1
21217,0
38805,0
106553,0
55430,1
30062,0
59847,0
3062,1
61175,1
100581,0
88827,0
70554,0
37606,0
31898,1
17248,0
71827,0
100755,0
5818,1
37009,1
79279,0
80329,0
85468,0
20369,1
16389,0
58453,0
35376,1
49920,0
15362,0
77338,0
84511,0
35528,0
88145,0
102186,1
24838,0
25814,0
88258,1
44012,1
49771,0
34302,0
6398,1
205,0
90262,1
32387,1
103264,0
10438,1
47486,1
27166,1
9895,1
98859,0
30275,1
27036,0
94519,1
88291,1
18472,1
17595,0
89601,1
12945,1
97967,1
73314,1
82128,0
37420,1
4506,1
10778,0
47944,0
100304,0
10894,1
2034,1
94707,1
21297,1
85193,0
89951,0
10096,0
67867,0
68590,0
64386,1
49389,0
67819,1
104303,0
53046,1
44971,0
48892,0
4687,0
28056,0
26464,1
2293,1
867,0
30950,1
47730,0
94204,0
19398,0
93098,1
58002,1
24261,1
89117,0
99761,1
65158,0
26664,0
26609,1
73653,1
80696,0
46991,0
11508,0
91192,1
31218,1
10916,1
19065,1
107004,0
103913,0
39297,0
48001,1
17951,0
17653,0
11812,0
51030,0
21926,1
62434,0
87608,0
65549,0
76545,1
61639,1
68584,0
38432,1
24889,1
28065,0
30464,0
1924,1
5760,0
85434,1
35933,0
72164,1
29142,0
53760,0
32755,1
66846,1
79247,0
63731,1
66605,0
32987,1
48673,1
13669,1
107216,0
35476,1
31070,0
66820,0
35328,0
103854,0
91430,1
38792,0
103346,0
103373,0
60827,1
102631,1
12896,1
87207,0
104183,0
16089,0
70738,1
65089,1
91784,0
19750,1
40865,0
70715,0
63729,0
10035,0
53655,0
64649,1
49695,1
24196,0
81925,1
79027,1
99106,0
78271,0
105494,1
70770,0
104141,1
46747,1
44446,0
3624,0
78092,0
39545,0
591,1
17797,0
55303,0
18795,0
73737,0
87293,0
74641,0
100436,1
50591,0
25177,1
76532,0
63621,1
77101,1
29833,1
74395,0
20105,1
35073,0
100145,0
69112,1
82211,0
11554,1
84363,1
73047,1
42297,0
33382,1
76093,0
91851,1
84071,0
103263,0
93425,0
69139,0
1602,1
55784,0
98178,0
61399,0
40658,1
63084,0
6396,0
4050,0
27783,0
94802,0
12021,0
30172,0
57772,1
14400,0
49696,1
105940,0
85150,1
35161,1
22511,0
99133,0
12557,0
66015,0
92173,0
22521,1
94777,1
106354,0
27079,1
23359,1
39339,0
64952,0
44806,1
20341,0
64896,0
73122,0
103544,0
60030,0
785,0
97209,1
85162,0
53948,1
6037,0
44775,0
97946,1
55973,0
47474,0
105368,0
53198,0
18070,1
67820,0
42152,0
8347,1
98080,1
22438,1
21427,1
69290,1
107455,0
94897,1
52115,0
73583,0
11352,1
9247,0
94915,1
4283,1
3555,1
31449,1
55761,0
61133,0
104522,0
83291,0
100199,0
3962,1
7322,0
68399,1
46906,1
101179,0
49837,1
72058,1
82450,1
73834,0
102041,0
6273,0
44951,0
47532,0
21552,0
100169,0
40807,0
51420,1
76136,0
19626,0
91410,0
64563,1
91381,1
28596,1
40184,1
76310,0
107237,0
29064,0
77949,1
86749,1
82259,1
14779,1
76753,1
247,1
54766,1
68085,0
32500,0
26338,1
77748,0
51785,1
78214,0
84831,1
10992,1
92026,0
88163,0
99871,0
45160,1
33312,0
4570,0
14048,1
36230,0
19616,0
56125,0
64811,0
25179,1
64000,0
10269,1
66417,0
91495,0
96301,0
89325,1
86710,1
104981,0
34240,0
33262,0
44555,1
84918,1
102933,1
11388,0
65356,1
79791,0
96831,0
76868,0
86860,0
89661,1
58625,0
72727,0
78866,0
79143,1
19971,1
82327,1
22795,0
52897,1
50034,0
54780,1
66073,1
55446,0
90686,0
13912,0
50119,0
27423,1
22335,0
103482,1
40864,1
94614,0
9118,0
3094,1
22668,1
74693,1
38312,1
24594,0
100629,0
80498,0
90166,0
48450,0
6243,1
27695,1
70835,0
97577,0
1930,1
22134,0
17533,0
63068,0
30377,0
94456,0
51851,0
8894,0
62842,0
55257,0
10258,1
86282,0
55646,0
59667,0
24038,1
62519,0
37642,1
44108,0
38270,1
75008,0
35544,1
31214,1
38396,1
23162,0
44317,1
19039,0
98616,1
10366,1
30477,0
53995,1
47382,0
39500,1
18376,1
61103,0
41722,1
33202,1
6283,1
26771,0
97981,0
21453,0
54683,1
59350,0
93129,1
84869,0
94084,0
7839,0
40535,0
38033,1
48666,1
26380,0
5968,0
16278,1
103091,1
43882,1
80643,1
71374,0
95169,1
31668,0
18850,1
94096,0
61946,0
21039,1
73661,1
81792,0
56569,1
7712,0
61647,0
84916,0
17837,1
21137,0
90346,1
43336,1
67384,0
98671,0
77851,1
28408,0
69664,0
106735,0
55959,0
12412,0
96048,1
98043,0
1394,1
43862,0
87342,0
22458,1
90388,0
22292,1
78778,1
9475,1
32180,1
99200,0
38644,0
43054,0
83647,1
10538,1
63308,1
47547,0
61928,1
77904,0
15101,1
41308,0
3119,1
47175,0
93666,0
38642,1
52485,0
65304,0
12861,1
93458,0
46683,1
77473,0
51732,0
29610,0
51140,1
95902,1
8130,1
82589,0
83136,0
58209,0
47575,0
27926,1
19713,0
50178,1
73430,1
97731,0
97919,0
36085,1
36354,0
13454,0
43944,0
40002,0
48488,0
55654,0
37211,1
101107,1
80401,0
34889,0
83959,0
56024,1
93213,0
23912,1
66080,0
83152,0
47936,1
23930,0
97933,0
61096,1
53650,0
60441,0
7431,0
9161,1
99912,0
30540,0
61620,1
88805,0
100259,0
106560,0
7436,1
105677,0
9316,0
39190,0
51084,1
95335,1
80126,0
24357,0
46621,0
30096,1
82855,0
71876,0
33255,0
61426,0
59764,0
77188,1
58067,0
14331,1
48397,0
84438,0
11681,0
88034,0
19229,0
1675,1
39354,1
35055,0
93373,0
16302,0
68061,0
26274,0
101009,0
87147,0
94725,1
21985,1
51515,1
103155,1
23258,0
40243,0
51024,1
70365,0
19972,1
60905,1
29579,0
106585,0
99110,0
28469,1
91983,0
70322,0
6116,0
91049,0
79358,0
73768,0
12383,0
84698,0
68136,0
29984,0
35220,0
62483,0
46257,0
53784,0
100904,1
55811,0
75844,0
50735,0
73785,0
15697,0
99282,0
32211,0
49286,0
85962,1
68753,0
6629,1
18985,0
88689,0
67179,1
34585,0
91665,1
105083,1
2114,1
42604,0
103568,0
45752,0
55474,0
65258,0
22456,0
72347,1
98717,1
30644,0
3570,1
16459,1
3616,1
83141,0
70496,0
66748,0
82719,1
7649,0
34189,1
83834,1
94225,0
76572,0
73480,1
5595,1
9226,0
53917,0
45976,0
76115,0
64187,0
68207,0
100425,0
77333,1
18958,1
68407,0
91395,0
25549,0
106088,0
96983,0
90591,0
31908,1
27108,0
89878,0
56010,0
84779,0
46392,0
31320,0
37049,0
42096,1
27404,0
107138,0
64969,1
34715,0
57229,1
44925,1
48109,1
1868,0
51227,0
71097,0
84864,0
68895,1
73565,0
18848,0
64789,0
43835,1
107017,0
69704,0
76941,0
43546,1
35086,1
76486,0
60316,0
35654,0
43779,0
103109,1
23192,0
65302,0
18815,1
66784,0
51316,0
44398,1
75366,1
70612,1
25598,1
39798,1
96979,1
57483,0
4106,1
48665,0
48790,0
80953,1
71516,0
67339,0
37748,1
45626,1
12086,1
82721,0
80013,0
20793,0
30531,1
51657,0
90828,0
59549,0
39317,0
69749,0
77135,0
18575,0
96253,1
20884,0
17325,1
56908,1
67973,1
37605,0
98584,1
63545,0
80010,1
29050,1
26021,1
48191,1
9851,0
24292,1
29415,0
28858,0
6670,0
88433,0
35112,0
13853,1
54295,0
20202,0
5631,0
83249,1
65483,1
96068,0
3005,0
1787,1
92113,0
7080,0
69405,0
102385,1
62694,0
37296,1
47480,1
105793,1
31624,1
51834,0
58249,0
791,0
11358,0
9503,1
95463,0
99655,0
50005,1
61145,0
37322,0
101458,1
75124,0
78733,0
86448,1
58202,1
97042,1
53955,1
3228,1
44538,1
47808,1
19746,0
46008,1
82215,0
33183,0
88342,1
67896,1
96218,0
45625,1
29005,1
12382,0
41709,0
3959,1
332,1
25171,0
106641,1
70262,1
31984,0
52228,1
73144,1
80909,1
49314,1
38323,1
28424,0
56885,0
99391,1
3290,0
74039,1
14029,0
101579,0
75259,1
61457,1
32405,0
11890,1
1688,0
9454,0
43019,1
50768,0
91764,1
37778,1
11224,1
41765,1
76548,0
19708,0
60307,0
94754,1
87636,0
98351,0
29732,0
82899,1
9199,1
77270,1
19018,0
36913,0
50619,0
77166,1
26508,1
65824,1
29114,1
46062,1
39443,0
1835,1
94581,0
47506,1
31494,0
38606,1
6971,0
29913,1
41650,1
25019,0
90776,0
51332,1
48919,0
93926,0
49310,1
86606,0
104868,0
102165,1
11797,0
10876,0
89609,1
2062,0
95280,0
38354,0
2072,0
26090,0
29642,0
21966,0
59910,1
67346,0
78723,0
82880,0
39814,1
91453,0
62910,0
71966,0
87183,1
48198,1
104760,0
79727,1
778,0
29626,0
67078,0
26088,0
47012,1
52903,1
100839,0
23281,1
26952,1
61708,1
61526,0
66177,0
19125,0
40448,1
37331,0
96678,0
23937,1
10600,0
46351,0
32567,0
22882,1
7421,0
99357,0
9290,0
98774,1
86987,0
103627,0
43771,0
99982,0
56832,0
56367,1
64654,0
41988,1
59406,0
52774,0
43645,1
1906,1
74778,1
78703,0
81185,1
35124,0
88817,0
54600,1
72272,0
20578,0
80102,0
18220,1
92360,0
101549,1
100112,0
6063,0
74084,0
47857,0
76288,0
66173,0
36725,1
20509,1
60707,0
97870,1
5169,1
98459,0
8480,1
91489,0
85993,1
57910,0
72982,1
51814,0
12944,0
70874,0
47311,0
41287,0
88280,1
95768,0
20539,0
72299,1
8167,0
4598,0
23592,0
100696,1
51207,0
3939,1
82646,1
1757,0
47888,0
30559,0
13060,0
62230,0
106914,0
41376,1
5438,0
19087,1
93672,0
39561,0
28807,1
101521,0
70072,1
99712,0
53656,0
69093,1
77150,0
8230,0
65506,1
48807,0
105642,0
6318,0
72661,0
36320,0
105651,0
33149,0
106208,1
44259,0
92676,0
107427,0
4435,1
18624,0
61822,0
94570,1
30492,0
8118,1
42710,1
82125,1
42212,0
4823,1
20213,0
66444,1
36591,1
85538,0
28006,0
50,1
28732,1
6722,1
61678,1
100976,0
37931,0
89700,0
61185,0
104971,0
65206,1
11995,0
59087,0
1397,1
10602,0
24720,1
84191,0
5880,0
104186,1
20348,0
72871,1
61841,0
18275,1
50075,1
107368,0
85453,0
83997,1
62678,0
46096,1
55924,1
68457,0
4483,1
40892,1
72468,0
35293,0
74923,1
71431,0
10488,0
64916,0
19865,1
17002,0
5874,0
57223,0
29061,1
62521,1
63575,0
104004,1
94435,0
20288,0
28045,1
105090,1
15714,0
104498,1
72367,0
62641,1
44318,0
67191,0
61275,0
93208,1
5340,0
67866,0
100922,1
14154,0
64615,0
50576,0
89281,1
92435,0
46756,1
43624,0
101097,0
9250,1
1301,1
1646,1
34359,0
56747,0
87554,0
96158,0
62448,0
50412,1
91570,1
83579,0
40843,1
56484,0
84930,1
69083,0
36862,0
106409,1
90174,0
73965,1
87356,0
97984,0
76596,1
28926,1
78990,0
1343,0
19238,1
78036,0
41385,0
20153,1
57012,0
102069,0
25421,1
105710,1
72588,1
47847,0
88837,1
105503,1
72862,0
39535,0
37690,1
37388,0
28675,1
34456,1
31268,0
12698,0
4919,0
26349,0
64816,0
102290,0
64991,1
73947,0
92711,0
63431,0
51,1
38936,1
101613,0
1938,1
96536,0
45365,0
84733,1
16294,1
21158,0
18843,0
2203,1
18052,0
88700,0
16235,0
16983,0
104107,0
452,1
92780,1
41438,1
84026,0
77369,0
2193,1
97848,1
98845,1
103424,0
91300,0
70341,0
25923,1
16862,1
21306,1
63223,0
62659,0
62068,0
32538,0
37764,1
87401,0
89678,1
43302,0
44083,1
62112,1
9526,0
100282,0
17112,0
18644,0
97747,0
104845,1
33804,1
11487,1
86798,0
34422,1
84610,0
28061,0
7933,1
33462,0
100295,0
409,0
80302,0
67641,0
77389,0
45843,1
88932,1
10450,0
71971,1
98749,0
96452,1
47959,0
43801,0
18900,1
65932,0
28412,0
97419,1
23858,0
90211,0
101397,1
62889,0
61286,0
86782,0
72512,0
28818,1
66009,1
88354,0
59574,0
63992,0
94669,1
5710,1
5543,1
18383,1
8531,1
98339,0
60926,1
16402,0
51701,0
71800,1
56549,1
71314,0
62138,1
14896,0
78421,0
106451,0
87951,1
64683,0
87873,0
8874,1
83296,0
53900,0
22903,0
35207,0
84512,1
47744,1
73551,0
42867,0
43727,0
65497,0
16368,1
80057,1
97551,1
94351,0
76566,0
47667,0
30779,0
90177,0
8408,0
30045,0
45013,0
48038,1
94833,1
98398,1
57356,0
97053,0
12532,0
22163,0
22097,1
45830,1
24481,0
54232,1
40323,1
13655,0
55806,1
12687,0
86934,0
78456,1
27843,0
28410,1
85990,1
52299,1
74790,1
76802,0
78641,0
39608,1
60274,0
66870,0
5443,0
55671,0
14939,1
39748,0
78518,1
76514,1
39216,0
102248,0
65140,1
107350,0
89491,1
19239,0
17491,1
100018,0
107424,0
23635,0
3671,1
13325,1
43262,0
6554,0
31261,0
7301,1
29123,1
58005,0
48086,1
11242,1
89341,0
63560,0
79210,1
1752,1
82550,0
84915,0
45423,1
16538,1
93281,0
57166,0
46625,0
42638,0
1821,1
46150,0
88780,1
49457,0
46112,1
23028,0
19673,1
18715,0
104889,0
62927,1
93568,0
83555,0
29138,0
1267,1
43832,1
59776,1
25478,1
13278,1
64729,1
21645,0
81508,0
44637,0
957,0
22829,0
47069,1
5737,0
10464,0
62021,0
24945,0
3974,1
69234,0
101463,1
42296,0
55410,1
73730,0
14430,1
67031,1
90380,0
59618,0
1879,1
52930,0
53412,1
37836,0
1236,0
38077,0
49760,1
33191,0
23036,1
71351,1
27340,0
47226,0
81410,1
20973,0
90127,1
29981,0
44434,0
1652,0
97193,0
51313,0
16421,0
13567,1
70909,0
105539,0
32966,0
73599,0
34393,1
16034,0
86873,0
84710,0
88576,1
99570,0
131,1
6713,1
33873,1
20276,1
59535,1
70610,0
6540,1
95555,0
93577,1
95010,1
26187,1
71579,1
9452,1
58907,1
29564,1
93985,1
61077,0
100438,0
88035,1
77286,0
55958,0
41896,1
10510,0
99120,1
8196,0
79650,0
23856,0
58741,0
57515,0
47696,0
43432,1
22747,0
54856,1
77408,0
20290,1
56537,1
77898,1
61438,0
52905,0
99644,0
38551,0
106385,0
54391,0
85664,1
1794,1
71257,0
9759,1
79000,0
85938,0
80176,0
48495,1
89664,0
19401,0
66184,0
59005,0
98716,1
50581,0
16065,0
67265,1
13709,0
78201,1
50739,1
10777,0
90403,0
37717,0
44350,0
11355,0
61157,1
5114,1
51695,0
31614,1
24716,0
32803,0
43877,1
55635,0
61700,0
98685,1
4865,1
60955,0
14831,0
35450,1
98224,1
12835,0
105826,0
66702,1
24960,1
78415,0
99038,1
58858,0
30454,0
82692,0
37960,1
54193,0
27693,0
92730,1
93457,0
41386,1
467,0
73615,0
81249,1
29204,0
40979,0
42866,1
47891,0
101526,0
89589,0
48433,0
98492,1
4948,0
90381,0
78083,0
87822,1
75901,0
62728,0
48657,0
16696,0
100007,0
102544,0
32881,1
49125,0
41022,1
27639,1
79538,1
12800,0
86783,0
70842,1
24175,1
53123,0
2639,1
60302,0
7601,1
30371,1
39740,0
77313,1
4026,1
74226,1
75467,0
4251,1
86355,0
17498,0
106207,0
38922,0
44261,0
99627,0
75476,1
4884,0
26336,0
81335,1
90057,0
62535,0
3048,1
42956,1
42191,0
62335,1
103607,0
96848,0
90889,0
64923,0
25866,0
36819,0
76779,0
90462,0
50173,0
96766,0
102638,0
22589,0
100479,1
98635,1
82686,1
70641,1
75829,0
79787,0
82446,0
55980,0
86239,0
91014,0
76485,0
32354,0
48638,0
99261,0
53237,0
26794,0
76960,0
100501,0
40507,0
7735,0
22475,0
13752,0
79891,0
44740,0
73121,0
28302,0
13812,1
83974,0
63918,1
77935,1
49012,0
75937,0
81233,0
16217,0
96094,0
11037,1
46039,0
83970,0
85662,0
106502,1
51141,0
18144,1
83090,1
94942,0
42223,0
79994,0
52353,0
49120,1
91184,0
81838,0
90995,0
94385,0
49335,0
2825,1
44026,1
51723,0
28318,0
21797,0
59736,1
47994,0
52770,0
78864,0
60191,1
1054,1
18560,1
34759,1
67580,0
36777,1
27882,1
86667,0
71040,0
19523,1
75129,1
35797,0
77739,0
8533,1
44564,1
40061,1
34696,1
23496,0
105173,0
46017,0
57258,0
82552,0
53980,1
12507,1
29178,0
57284,1
53318,0
75631,0
79491,1
89555,1
8644,0
88094,1
98024,0
3655,1
57901,0
28609,0
23883,0
55505,0
39810,1
66194,0
15409,0
86811,0
1958,0
83618,1
90115,0
45987,0
5912,0
75312,1
58057,1
336,1
48290,1
104938,0
69853,1
61007,0
48548,0
100539,0
10238,0
82526,0
40131,1
55092,0
66787,0
39885,0
20939,0
56850,1
86809,0
87224,1
31693,0
97768,1
49951,1
3808,1
42419,0
11361,0
2378,0
100082,1
17262,0
9570,1
83739,1
10445,0
97090,0
8364,1
42786,0
85283,0
99892,0
27984,1
57436,1
77237,0
21704,1
102590,1
77665,1
33979,1
89817,0
85156,0
6380,1
26691,1
47182,0
82372,0
33425,0
105730,0
41586,1
64726,0
37950,1
77054,0
13259,0
35267,0
61906,1
94879,0
43767,0
100434,0
70334,0
70980,1
64978,1
40803,0
103940,0
5697,0
41300,1
29474,0
87360,1
105081,0
93355,0
65565,0
47802,1
12996,0
52668,1
35850,1
31563,0
12091,1
83280,1
62211,1
62562,0
72157,0
39384,1
12851,0
10289,1
36056,1
39398,0
59496,0
1934,1
63705,0
17836,0
53997,0
45104,1
46517,1
93880,0
45306,0
96147,1
70925,0
46931,0
76196,0
28679,1
62368,1
91473,1
40115,0
18738,1
45787,0
95238,0
55719,1
34850,1
60793,0
31542,0
9946,1
82172,0
97530,1
27813,0
42478,0
14222,0
88637,0
12934,0
50430,0
95588,0
107233,0
71209,0
55750,1
24506,0
61531,1
27121,0
103410,1
29049,0
13480,1
67496,0
15371,0
80336,0
30220,1
34480,1
99240,0
12460,0
68488,0
14434,1
30207,1
44954,1
31001,1
18711,1
26785,0
95058,0
90914,0
80209,0
46868,0
73366,0
16287,0
96421,0
5602,1
86807,0
71735,0
13026,0
55044,1
6754,0
49175,0
54865,1
13789,1
76765,0
79285,0
98967,0
34645,1
98251,1
1816,0
17028,1
85933,1
38040,0
74807,0
49992,1
66609,0
87144,0
14916,0
54621,1
69637,0
55199,0
64103,0
87274,0
27647,0
83506,0
2347,1
86031,1
57798,0
1502,0
66532,0
58706,1
52013,0
71877,0
37332,0
84772,1
24473,0
92314,0
47735,0
62383,1
49885,1
68160,0
33444,0
25625,1
58870,0
42280,0
29617,0
102297,0
106259,1
17941,1
34692,1
73788,0
15313,1
35907,0
55449,1
84005,1
33534,1
60286,0
18643,1
34681,1
42380,0
77110,0
63604,1
72413,0
19508,1
7819,0
24337,1
51516,0
501,1
19292,0
26010,1
6086,0
69255,0
19226,0
85909,0
90918,0
105712,0
11332,0
57540,1
24088,0
87128,1
70188,1
83805,0
70970,0
15569,0
36016,1
61467,0
36863,1
14336,0
79068,0
55952,1
64421,1
105479,1
6778,1
40145,1
57231,0
95786,0
75362,1
71542,1
85059,0
75630,1
61517,0
21051,1
1345,0
43049,1
57694,1
51883,0
16900,0
24630,0
53792,0
70489,1
78407,0
65061,0
48292,0
81523,1
17606,0
9758,1
86177,1
88128,1
41334,0
56711,0
87970,0
75411,0
7333,0
83096,1
54167,1
62935,0
79714,0
100455,1
91037,0
23445,0
88248,0
92945,1
87092,0
18617,1
63478,0
50076,0
67263,0
15060,1
87520,0
58928,1
105491,0
49607,0
15065,1
63956,0
21637,1
55912,0
72936,1
5324,0
61228,0
24806,0
27249,0
55066,1
25026,1
72592,0
5571,0
52694,1
11786,0
20200,1
95066,1
39829,0
9363,1
63167,1
60374,1
60317,1
93071,0
71242,0
84544,0
26137,1
56025,0
22836,0
25807,1
72748,1
12793,1
41248,0
103666,0
35581,0
5524,1
1079,1
82068,1
39081,0
63384,0
580,1
94339,0
48470,0
79223,0
91132,0
86140,0
24927,1
104175,0
28088,0
89795,1
22091,0
43891,0
19468,0
29725,0
62547,0
283,1
85665,0
56830,0
15231,1
3612,1
49228,1
63497,1
105409,0
42517,1
6933,1
97292,1
86074,0
50334,0
47864,1
25550,0
21969,0
59895,0
20621,0
97744,0
74207,1
80078,1
42363,0
102991,0
69851,1
3366,1
66172,1
22823,0
23303,1
73382,0
49703,1
19640,1
25578,0
93335,0
90061,0
96188,1
47531,0
886,1
92227,1
41199,0
13321,0
76067,0
106270,0
103362,0
46415,1
11147,1
31490,0
12957,0
71668,0
94400,0
92419,1
51403,0
45894,0
101426,0
43681,1
100224,0
42194,1
94127,1
7704,0
102208,0
50086,0
27722,1
41828,0
32309,1
43278,1
99758,0
32283,0
71379,0
45642,0
13923,1
105915,0
61483,1
16025,0
86141,1
98675,0
79585,1
28543,1
68994,0
94718,0
28473,1
104015,0
8911,0
29621,1
79672,0
72635,0
10000,0
26866,1
9108,0
54299,0
104061,0
6986,0
100735,0
77901,0
17704,0
55476,1
23377,1
86333,0
97131,1
80836,0
12620,0
34231,0
50542,0
73312,0
20,1
28923,1
11640,0
79418,1
101228,0
71096,1
25614,0
55187,0
6473,0
300,0
43428,0
3998,1
59812,0
101664,0
66516,0
25291,1
54436,0
7890,0
31514,1
70605,0
107365,1
69992,0
69051,1
45785,0
25964,1
90587,0
26095,0
37856,0
73379,0
74490,0
69848,0
89039,1
1139,1
94594,0
56667,1
79604,0
4623,1
74884,0
94644,1
4764,1
29507,0
28305,0
36284,1
87010,0
39077,1
48844,0
100122,0
50254,1
92647,0
22024,1
31505,0
64972,1
34261,1
74058,1
83227,1
61444,1
32497,0
15551,1
96100,0
70305,0
97460,1
1287,1
55034,0
87453,1
74907,0
20643,0
23761,0
78704,0
86250,0
77989,0
53721,1
66794,0
24688,0
82605,0
6349,0
16365,1
8895,0
87649,1
86340,1
31647,0
45313,0
41545,1
106519,1
76331,0
98470,1
88986,0
5097,1
7536,0
2924,1
93853,1
68513,0
30059,1
25067,0
39617,0
87452,0
73970,1
13744,0
53400,1
82199,0
91779,0
53071,0
25692,1
38402,0
85493,1
93514,0
45007,1
58940,1
61953,0
78025,0
89211,1
36080,1
20838,0
99170,1
88192,1
19954,1
104375,1
13746,0
15579,0
51539,0
11841,0
105072,0
15580,1
78416,0
